2026-05-10 13:03:12,539 | INFO | Ticker ADSK reached max_windows_per_ticker=1. Stop further windows.
2026-05-10 13:03:12,539 | INFO | Ticker ADSK done. months_processed=1 kept_articles=30
2026-05-10 13:03:47,490 | WARNING | GDELT request failed: HTTPSConnectionPool(host='api.gdeltproject.org', port=443): Max retries exceeded with url: /api/v2/doc/doc?query=%28%22Aehr+Test+Systems%22+OR+%22Aehr+Test+Syst. Retry/skip.
2026-05-10 13:04:10,210 | WARNING | GDELT request failed: HTTPSConnectionPool(host='api.gdeltproject.org', port=443): Max retries exceeded with url: /api/v2/doc/doc?query=%28%22Aehr+Test+Systems%22+OR+%22Aehr+Test+Syst. Retry/skip.
2026-05-10 13:04:55,298 | INFO | Ticker AEHR fallback split window 2018-01-01 -> 2018-01-31 got 43 articles
2026-05-10 13:04:55,389 | INFO | Ticker AEHR reached max_windows_per_ticker=1. Stop further windows.
2026-05-10 13:04:55,389 | INFO | Ticker AEHR done. months_processed=1 kept_articles=30
2026-05-10 13:05:30,313 | WARNING | GDELT request failed: HTTPSConnectionPool(host='api.gdeltproject.org', port=443): Max retries exceeded with url: /api/v2/doc/doc?query=%28%22Advanced+Energy+Industries%22+OR+%22Advan. Retry/skip.
2026-05-10 13:05:52,921 | WARNING | GDELT request failed: HTTPSConnectionPool(host='api.gdeltproject.org', port=443): Max retries exceeded with url: /api/v2/doc/doc?query=%28%22Advanced+Energy+Industries%22+OR+%22Advan. Retry/skip.
2026-05-10 13:06:09,898 | WARNING | GDELT status=429. Sleeping 15.5s then retry/skip. query=("Advanced Energy Industries" OR "Advanced Energy Industries earnings" OR "Advanced Energy Industries stock") sourcelang:english
2026-05-10 13:06:54,103 | WARNING | GDELT request failed: HTTPSConnectionPool(host='api.gdeltproject.org', port=443): Read timed out. (read timeout=20). Retry/skip.
2026-05-10 13:07:18,576 | WARNING | GDELT request failed: HTTPSConnectionPool(host='api.gdeltproject.org', port=443): Max retries exceeded with url: /api/v2/doc/doc?query=%28%22Advanced+Energy+Industries%22+OR+%22Advan. Retry/skip.
2026-05-10 13:07:27,249 | WARNING | GDELT status=429. Sleeping 30.6s then retry/skip. query=("Advanced Energy Industries" OR "Advanced Energy Industries earnings" OR "Advanced Energy Industries stock") sourcelang:english
2026-05-10 13:07:57,847 | INFO | Ticker AEIS fallback split window 2018-01-01 -> 2018-01-31 got 0 articles
